zeta4	p0.05	1.9e-05	0.999965	1e-06
zeta4	p0.051	3.2e-05	0.999952	1e-06
zeta4	p0.052	3.3e-05	0.999951	1e-06
zeta4	p0.053	3.3e-05	0.999951	1e-06
zeta4	p0.054	4e-05	0.999944	1e-06
zeta4	p0.055	4e-05	0.999944	1e-06
zeta4	p0.056	4e-05	0.999944	1e-06
zeta4	p0.057	4e-05	0.999944	1e-06
zeta4	p0.058	4e-05	0.999944	1e-06
zeta4	p0.059	4e-05	0.999944	1e-06
zeta4	p0.06	4e-05	0.999944	1e-06
zeta4	p0.061	4.1e-05	0.999943	1e-06
zeta4	p0.062	4.1e-05	0.999943	1e-06
zeta4	p0.063	4.1e-05	0.999943	1e-06
zeta4	p0.064	4.1e-05	0.999943	1e-06
zeta4	p0.065	4.1e-05	0.999943	1e-06
zeta4	p0.066	4.1e-05	0.999943	1e-06
zeta4	p0.067	4.1e-05	0.999943	1e-06
zeta4	p0.068	4.1e-05	0.999943	1e-06
zeta4	p0.069	4.2e-05	0.999942	1e-06
zeta4	p0.07	4.8e-05	0.999936	1e-06
zeta4	p0.071	4.8e-05	0.999936	1e-06
zeta4	p0.072	4.8e-05	0.999936	1e-06
zeta4	p0.073	5e-05	0.999934	1e-06
zeta4	p0.074	5e-05	0.999934	1e-06
zeta4	p0.075	5.3e-05	0.999931	1e-06
zeta4	p0.076	5.3e-05	0.999931	1e-06
zeta4	p0.077	5.4e-05	0.99993	1e-06
zeta4	p0.078	5.4e-05	0.99993	1e-06
zeta4	p0.079	5.5e-05	0.999929	1e-06
zeta4	p0.08	5.5e-05	0.999929	1e-06
zeta4	p0.081	6.3e-05	0.999921	1e-06
zeta4	p0.082	6.3e-05	0.999921	1e-06
zeta4	p0.083	6.5e-05	0.999919	1e-06
zeta4	p0.084	6.5e-05	0.999919	1e-06
zeta4	p0.085	6.5e-05	0.999919	1e-06
zeta4	p0.086	6.7e-05	0.999917	1e-06
zeta4	p0.087	7.2e-05	0.999912	1e-06
zeta4	p0.088	7.2e-05	0.999912	1e-06
zeta4	p0.089	0.000147	0.999836	1e-06
zeta4	p0.09	0.000147	0.999836	1e-06
zeta4	p0.091	0.00016	0.999823	1e-06
zeta4	p0.092	0.000162	0.999821	1e-06
zeta4	p0.093	0.000186	0.999797	1e-06
zeta4	p0.094	0.000187	0.999796	1e-06
zeta4	p0.095	0.000193	0.99979	1e-06
zeta4	p0.096	0.000194	0.999789	1e-06
zeta4	p0.097	0.000201	0.999782	1e-06
zeta4	p0.098	0.000201	0.999782	1e-06
zeta4	p0.099	0.000223	0.99976	1e-06
zeta4	p0.1	0.000226	0.999757	1e-06
zeta4	p0.101	0.000226	0.999757	1e-06
zeta4	p0.102	0.000234	0.999749	1e-06
zeta4	p0.103	0.000242	0.999741	1e-06
zeta4	p0.104	0.000242	0.999741	1e-06
zeta4	p0.105	0.000244	0.999739	1e-06
zeta4	p0.106	0.000276	0.999707	1e-06
zeta4	p0.107	0.000303	0.99968	1e-06
zeta4	p0.108	0.000368	0.999615	1e-06
zeta4	p0.109	0.000375	0.999608	1e-06
zeta4	p0.11	0.000378	0.999605	1e-06
zeta4	p0.111	0.000379	0.999604	1e-06
zeta4	p0.112	0.000379	0.999604	1e-06
zeta4	p0.113	0.000436	0.999547	1e-06
zeta4	p0.114	0.000439	0.999544	1e-06
zeta4	p0.115	0.000439	0.999544	1e-06
zeta4	p0.116	0.000443	0.99954	1e-06
zeta4	p0.117	0.000474	0.999509	1e-06
zeta4	p0.118	0.000487	0.999496	1e-06
zeta4	p0.119	0.000491	0.999492	1e-06
zeta4	p0.12	0.000546	0.999438	1e-06
zeta4	p0.121	0.000615	0.999369	1e-06
zeta4	p0.122	0.000632	0.999352	1e-06
zeta4	p0.123	0.000714	0.999269	1e-06
zeta4	p0.124	0.00073	0.999253	1e-06
zeta4	p0.125	0.000756	0.999228	1e-06
zeta4	p0.126	0.00097	0.999013	1e-06
zeta4	p0.127	0.001018	0.998965	1e-06
zeta4	p0.128	0.001249	0.998734	1e-06
zeta4	p0.129	0.001267	0.998716	1e-06
zeta4	p0.13	0.00129	0.998693	1e-06
zeta4	p0.131	0.001296	0.998687	1e-06
zeta4	p0.132	0.001308	0.998675	1e-06
zeta4	p0.133	0.001527	0.998456	1e-06
zeta4	p0.134	0.003474	0.996509	1e-06
zeta4	p0.135	0.003615	0.996368	1e-06
zeta4	p0.136	0.003962	0.996021	1e-06
zeta4	p0.137	0.006289	0.993691	1e-06
zeta4	p0.138	0.006657	0.993322	1e-06
zeta4	p0.139	0.006984	0.992995	1e-06
zeta4	p0.14	0.00877	0.991209	1e-06
zeta4	p0.141	0.010419	0.98956	1e-06
zeta4	p0.142	0.010666	0.989313	1e-06
zeta4	p0.143	0.022671	0.977303	1e-06
zeta4	p0.144	0.023347	0.976627	1e-06
zeta4	p0.145	0.060269	0.939691	1e-06
zeta4	p0.146	0.063321	0.936639	1e-06
zeta4	p0.147	0.067091	0.932869	1e-06
zeta4	p0.148	0.0743	0.925656	1e-06
zeta4	p0.149	0.082341	0.917614	1e-06
zeta4	p0.15	0.085524	0.914428	1e-06
zeta4	p0.151	0.088171	0.91178	1e-06
zeta4	p0.152	0.093701	0.906246	1e-06
zeta4	p0.153	0.095867	0.904078	1e-06
zeta4	p0.154	0.098702	0.901239	1e-06
zeta4	p0.155	0.101349	0.89859	1e-06
zeta4	p0.156	0.103722	0.896216	1e-06
zeta4	p0.157	0.106121	0.893816	1e-06
zeta4	p0.158	0.108494	0.891442	1e-06
zeta4	p0.159	0.111162	0.888773	1e-06
zeta4	p0.16	0.113516	0.886417	1e-06
zeta4	p0.161	0.115798	0.884134	1e-06
zeta4	p0.162	0.118021	0.881909	1e-06
zeta4	p0.163	0.120272	0.879657	1e-06
zeta4	p0.164	0.122343	0.877584	1e-06
zeta4	p0.165	0.124609	0.875315	1e-06
zeta4	p0.166	0.12664	0.873283	1e-06
zeta4	p0.167	0.128716	0.871205	1e-06
zeta4	p0.168	0.130805	0.869114	1e-06
zeta4	p0.169	0.13288	0.867035	1e-06
zeta4	p0.17	0.134938	0.864974	1e-06
zeta4	p0.171	0.137227	0.862682	1e-06
zeta4	p0.172	0.139319	0.86059	1e-06
zeta4	p0.173	0.141253	0.858655	1e-06
zeta4	p0.174	0.143137	0.856771	1e-06
zeta4	p0.175	0.145202	0.854706	1e-06
zeta4	p0.176	0.147285	0.852622	1e-06
zeta4	p0.177	0.149519	0.850385	1e-06
zeta4	p0.178	0.15168	0.848223	1e-06
zeta4	p0.179	0.153672	0.846229	1e-06
zeta4	p0.18	0.155787	0.84411	1e-06
zeta4	p0.181	0.157782	0.842113	1e-06
zeta4	p0.182	0.159812	0.840083	1e-06
zeta4	p0.183	0.161806	0.838084	1e-06
zeta4	p0.184	0.163946	0.835941	1e-06
zeta4	p0.185	0.16588	0.834004	1e-06
zeta4	p0.186	0.167985	0.831897	1e-06
zeta4	p0.187	0.17	0.829879	1e-06
zeta4	p0.188	0.171977	0.827899	1e-06
zeta4	p0.189	0.174059	0.825815	1e-06
zeta4	p0.19	0.176245	0.823627	1e-06
zeta4	p0.191	0.178359	0.821509	1e-06
zeta4	p0.192	0.180553	0.819312	1e-06
zeta4	p0.193	0.182573	0.81729	1e-06
zeta4	p0.194	0.184675	0.815184	1e-06
zeta4	p0.195	0.186741	0.813113	1e-06
zeta4	p0.196	0.188808	0.811042	1e-06
zeta4	p0.197	0.191232	0.808613	1e-06
zeta4	p0.198	0.193545	0.806295	1e-06
zeta4	p0.199	0.195901	0.803932	1e-06
zeta4	p0.2	0.198099	0.80173	1e-06
zeta4	p0.201	0.20074	0.799074	1e-06
zeta4	p0.202	0.203309	0.796496	1e-06
zeta4	p0.203	0.205881	0.793911	1e-06
zeta4	p0.204	0.208381	0.791408	1e-06
zeta4	p0.205	0.211121	0.788661	1e-06
zeta4	p0.206	0.21389	0.785884	1e-06
zeta4	p0.207	0.216474	0.783288	1e-06
zeta4	p0.208	0.219321	0.780435	1e-06
zeta4	p0.209	0.221912	0.777838	1e-06
zeta4	p0.21	0.224997	0.774735	2e-06
zeta4	p0.211	0.228237	0.771472	2e-06
zeta4	p0.212	0.231218	0.768472	2e-06
zeta4	p0.213	0.234837	0.764827	2e-06
zeta4	p0.214	0.239362	0.760263	3e-06
zeta4	p0.215	0.243018	0.756577	3e-06
zeta4	p0.216	0.247938	0.751585	3e-06
zeta4	p0.217	0.254214	0.745181	4e-06
zeta4	p0.218	0.260709	0.73854	6e-06
zeta4	p0.219	0.271528	0.727399	6e-06
zeta4	p0.22	0.282137	0.716435	1.3e-05
zeta4	p0.221	0.295721	0.702361	1.7e-05
zeta4	p0.222	0.313795	0.683325	8.6e-05
zeta4	p0.223	0.322782	0.674078	8.6e-05
zeta4	p0.224	0.37983	0.613434	8.6e-05
zeta4	p0.225	0.391538	0.600009	0.001018
zeta4	p0.226	0.414248	0.575787	0.001018
zeta4	p0.227	0.460269	0.526202	0.001011
zeta4	p0.228	0.487915	0.497271	8.6e-05
zeta4	p0.229	0.526287	0.456208	8.6e-05
zeta4	p0.23	0.564363	0.414851	0.000176
zeta4	p0.231	0.614614	0.360065	0.000176
zeta4	p0.232	0.638994	0.333634	8.6e-05
zeta4	p0.233	0.689452	0.271224	0.003108
zeta4	p0.234	0.717123	0.235045	0.005574
zeta4	p0.235	0.750823	0.174666	0.026079
zeta4	p0.236	0.786071	0.146128	0.011984
zeta4	p0.237	0.820227	0.096932	0.017163
zeta4	p0.238	0.847838	0.028525	0.019792
zeta4	p0.239	0.867617	0.019009	0.013027
zeta4	p0.24	0.882575	0.01297	0.00927
zeta4	p0.241	0.894224	0.012822	0.009224
zeta4	p0.242	0.902111	0.012362	0.009189
zeta4	p0.243	0.907242	0.012171	0.009073
zeta4	p0.244	0.913713	0.008997	0.005479
zeta4	p0.245	0.922419	0.00791	0.002584
zeta4	p0.246	0.923214	0.007564	0.002565
zeta4	p0.247	0.928612	0.002521	0.002144
zeta4	p0.248	0.930128	0.002516	0.002144
