p0.05	1.9e-05	1.7e-05	1e-06
p0.051	2e-05	1.7e-05	1e-06
p0.052	2e-05	1.7e-05	1e-06
p0.053	2e-05	1.7e-05	1e-06
p0.054	2e-05	1.7e-05	1e-06
p0.055	2e-05	1.7e-05	1e-06
p0.056	2e-05	1.7e-05	1e-06
p0.057	2e-05	1.7e-05	1e-06
p0.058	2e-05	1.8e-05	1e-06
p0.059	2.1e-05	1.8e-05	1e-06
p0.06	2.1e-05	1.8e-05	1e-06
p0.061	2.2e-05	1.8e-05	1e-06
p0.062	2.3e-05	2.1e-05	1e-06
p0.063	2.3e-05	2.3e-05	1e-06
p0.064	2.7e-05	2.3e-05	1e-06
p0.065	2.7e-05	2.3e-05	1e-06
p0.066	2.7e-05	2.3e-05	1e-06
p0.067	2.7e-05	2.4e-05	1e-06
p0.068	2.7e-05	2.6e-05	1e-06
p0.069	2.7e-05	2.7e-05	1e-06
p0.07	2.7e-05	2.7e-05	1e-06
p0.071	2.7e-05	2.7e-05	1e-06
p0.072	2.9e-05	2.7e-05	1e-06
p0.073	2.9e-05	2.7e-05	1e-06
p0.074	2.9e-05	2.9e-05	1e-06
p0.075	2.9e-05	2.9e-05	1e-06
p0.076	3.9e-05	3.2e-05	1e-06
p0.077	3.9e-05	3.2e-05	1e-06
p0.078	3.9e-05	3.7e-05	1e-06
p0.079	3.9e-05	3.7e-05	1e-06
p0.08	3.9e-05	3.7e-05	1e-06
p0.081	3.9e-05	3.7e-05	1e-06
p0.082	4.1e-05	3.9e-05	1e-06
p0.083	4.4e-05	4.2e-05	1e-06
p0.084	4.4e-05	4.3e-05	1e-06
p0.085	4.4e-05	4.3e-05	1e-06
p0.086	4.4e-05	4.3e-05	1e-06
p0.087	4.7e-05	4.4e-05	1e-06
p0.088	4.8e-05	4.4e-05	1e-06
p0.089	4.8e-05	4.7e-05	1e-06
p0.09	4.9e-05	4.7e-05	1e-06
p0.091	5e-05	4.7e-05	1e-06
p0.092	5.1e-05	5e-05	1e-06
p0.093	5.1e-05	5e-05	1e-06
p0.094	8.9e-05	5.1e-05	1e-06
p0.095	9e-05	5.3e-05	1e-06
p0.096	9e-05	5.4e-05	1e-06
p0.097	9e-05	5.4e-05	1e-06
p0.098	9e-05	6.8e-05	1e-06
p0.099	9e-05	6.9e-05	1e-06
p0.1	9.1e-05	6.9e-05	1e-06
p0.101	9.4e-05	7.1e-05	1e-06
p0.102	9.4e-05	8.2e-05	1e-06
p0.103	0.000116	8.3e-05	1e-06
p0.104	0.000118	8.8e-05	1e-06
p0.105	0.000118	9.2e-05	1e-06
p0.106	0.000118	0.000105	1e-06
p0.107	0.000118	0.000106	1e-06
p0.108	0.000126	0.000109	1e-06
p0.109	0.000147	0.00011	1e-06
p0.11	0.000199	0.000114	1e-06
p0.111	0.000199	0.000115	1e-06
p0.112	0.000201	0.000117	1e-06
p0.113	0.000203	0.000117	1e-06
p0.114	0.000208	0.000117	1e-06
p0.115	0.000211	0.000117	1e-06
p0.116	0.000212	0.000131	1e-06
p0.117	0.000227	0.000132	1e-06
p0.118	0.000228	0.000133	1e-06
p0.119	0.000233	0.000139	1e-06
p0.12	0.000233	0.000153	1e-06
p0.121	0.000241	0.000192	1e-06
p0.122	0.000242	0.000206	1e-06
p0.123	0.000246	0.000206	1e-06
p0.124	0.000247	0.000213	1e-06
p0.125	0.000249	0.000215	1e-06
p0.126	0.000302	0.000215	1e-06
p0.127	0.000305	0.000236	1e-06
p0.128	0.00031	0.000245	1e-06
p0.129	0.000319	0.000263	1e-06
p0.13	0.000319	0.000293	1e-06
p0.131	0.000428	0.000325	1e-06
p0.132	0.00043	0.000339	1e-06
p0.133	0.000479	0.00046	1e-06
p0.134	0.00049	0.000465	1e-06
p0.135	0.000495	0.000471	1e-06
p0.136	0.000645	0.000474	1e-06
p0.137	0.000649	0.000485	1e-06
p0.138	0.000663	0.000531	1e-06
p0.139	0.000673	0.000591	1e-06
p0.14	0.000698	0.000677	1e-06
p0.141	0.000721	0.000681	1e-06
p0.142	0.000725	0.00071	1e-06
p0.143	0.000911	0.000821	1e-06
p0.144	0.000955	0.000831	1e-06
p0.145	0.000965	0.000883	1e-06
p0.146	0.000999	0.00093	1e-06
p0.147	0.001034	0.000955	1e-06
p0.148	0.00112	0.00108	1e-06
p0.149	0.001894	0.001153	1e-06
p0.15	0.001925	0.001629	1e-06
p0.151	0.00195	0.001666	1e-06
p0.152	0.001961	0.001695	1e-06
p0.153	0.002009	0.001993	1e-06
p0.154	0.002961	0.002422	1e-06
p0.155	0.003018	0.002776	1e-06
p0.156	0.00325	0.002809	1e-06
p0.157	0.003412	0.003274	1e-06
p0.158	0.006704	0.005721	1e-06
p0.159	0.007042	0.006978	1e-06
p0.16	0.010898	0.007131	1e-06
p0.161	0.011163	0.008217	1e-06
p0.162	0.011543	0.009872	1e-06
p0.163	0.01312	0.010207	1e-06
p0.164	0.028441	0.016396	1e-06
p0.165	0.070367	0.006909	1e-06
p0.166	0.078075	0.005122	1e-06
p0.167	0.086055	0.004459	1e-06
p0.168	0.090385	0.002018	1e-06
p0.169	0.104562	0.001116	1e-06
p0.17	0.110626	0.001082	1e-06
p0.171	0.115152	0.001107	1e-06
